Distance_(µm),Gray_Value
205.399993896,31.326351166
206.050003052,31.817457199
206.699996948,32.094543457
207.350006104,32.042907715
208.000000000,31.871147156
208.649993896,31.801294327
209.300003052,31.960798264
209.949996948,32.255985260
210.600006104,32.504276276
211.250000000,32.875442505
211.899993896,33.181957245
212.550003052,33.404048920
213.199996948,33.491779327
213.850006104,33.516204834
214.500000000,33.552322388
215.149993896,33.489421844
215.800003052,33.157997131
216.449996948,32.884082794
217.100006104,32.797370911
217.750000000,32.759693146
218.399993896,32.390220642
219.050003052,31.762334824
219.699996948,31.385808945
220.350006104,31.193510056
221.000000000,31.002748489
221.649993896,30.953163147
222.300003052,31.076173782
222.949996948,31.358621597
223.600006104,31.891340256
224.250000000,32.202037811
224.899993896,31.767240524
225.550003052,31.055233002
226.199996948,30.529539108
226.850006104,30.580932617
227.500000000,30.454973221
228.149993896,30.451633453
228.800003052,30.473279953
229.449996948,30.465726852
230.100006104,30.542884827
230.750000000,30.708490372
231.399993896,30.958057404
232.050003052,31.143772125
232.699996948,31.464975357
233.350006104,31.839981079
234.000000000,32.348716736
234.649993896,32.280746460
235.300003052,32.216087341
235.949996948,32.323074341
236.600006104,32.161128998
237.250000000,31.716131210
237.899993896,31.490486145
238.550003052,31.355855942
239.199996948,31.091867447
239.850006104,30.905054092
240.500000000,30.987762451
241.149993896,31.175867081
241.800003052,31.238224030
242.449996948,31.472688675
243.100006104,31.843431473
243.750000000,31.821392059
244.399993896,31.942819595
245.050003052,31.667198181
245.699996948,31.548309326
246.350006104,31.445880890
247.000000000,31.507440567
247.649993896,32.063465118
248.300003052,32.630722046
248.949996948,32.912933350
249.600006104,32.731002808
250.250000000,32.521995544
250.899993896,32.460411072
251.550003052,32.248565674
252.199996948,32.322711945
252.850006104,32.233203888
253.500000000,32.360469818
254.149993896,32.913543701
254.800003052,33.525444031
255.449996948,33.777523041
256.100006104,33.953495026
256.750000000,33.948894501
257.399993896,33.852474213
258.049987793,34.075801849
258.700012207,33.780563354
259.350006104,33.365814209
260.000000000,32.963039398
260.649993896,32.753387451
261.299987793,32.656452179
261.950012207,32.204017639
262.600006104,31.964878082
263.250000000,31.897315979
263.899993896,31.580646515
264.549987793,31.290609360
265.200012207,31.113054276
265.850006104,31.043851852
266.500000000,30.936523438
267.149993896,30.558355331
267.799987793,30.244009018
268.450012207,29.715833664
269.100006104,29.457996368
269.750000000,29.179622650
270.399993896,28.974794388
271.049987793,28.874540329
271.700012207,28.750303268
272.350006104,28.722494125
273.000000000,28.582977295
273.649993896,28.521467209
274.299987793,28.889926910
274.950012207,29.180372238
275.600006104,29.416702271
276.250000000,29.647365570
276.899993896,29.965480804
277.549987793,30.261497498
278.200012207,30.611448288
278.850006104,31.354520798
279.500000000,32.174682617
280.149993896,33.124622345
280.799987793,33.897945404
281.450012207,34.270751953
282.100006104,34.320587158
282.750000000,34.149536133
283.399993896,34.103527069
284.049987793,34.317333221
284.700012207,34.257900238
285.350006104,33.376808167
286.000000000,32.669849396
286.649993896,32.334362030
287.299987793,31.943141937
287.950012207,31.529170990
288.600006104,30.904747009
289.250000000,30.238031387
289.899993896,29.390893936
290.549987793,28.482564926
291.200012207,27.644325256
291.850006104,26.758344650
292.500000000,26.024913788
293.149993896,25.751913071
293.799987793,25.485004425
294.450012207,25.471582413
295.100006104,25.578813553
295.750000000,26.023584366
296.399993896,26.356065750
297.049987793,26.923662186
297.700012207,27.467929840
298.350006104,27.616373062
299.000000000,27.623384476
299.649993896,28.006696701
300.299987793,28.783782959
300.950012207,29.543888092
301.600006104,30.548921585
302.250000000,31.378433228
302.899993896,31.960281372
303.549987793,32.001182556
304.200012207,32.243713379
304.850006104,32.581981659
305.500000000,33.056037903
306.149993896,33.720699310
306.799987793,33.953372955
307.450012207,34.490749359
308.100006104,35.035747528
308.750000000,35.224491119
309.399993896,35.353157043
310.049987793,35.650451660
310.700012207,35.541969299
311.350006104,35.296527863
312.000000000,34.699005127
312.649993896,34.109920502
313.299987793,33.610485077
313.950012207,33.164371490
314.600006104,32.601135254
315.250000000,32.156387329
315.899993896,31.658422470
316.549987793,31.431423187
317.200012207,30.984430313
317.850006104,30.558528900
318.500000000,29.971059799
319.149993896,29.719955444
319.799987793,29.468441010
320.450012207,29.188175201
321.100006104,29.042182922
321.750000000,28.867004395
322.399993896,28.350894928
323.049987793,28.067197800
323.700012207,27.823907852
324.350006104,27.553422928
325.000000000,27.469160080
325.649993896,27.392591476
326.299987793,27.521490097
326.950012207,27.385808945
327.600006104,27.406162262
328.250000000,27.408561707
328.899993896,27.431039810
329.549987793,27.393247604
330.200012207,27.280382156
330.850006104,27.177301407
331.500000000,26.802848816
332.149993896,26.555759430
332.799987793,26.372272491
333.450012207,26.292295456
334.100006104,26.492424011
334.750000000,26.831956863
335.399993896,27.200876236
336.049987793,27.392982483
336.700012207,27.306037903
337.350006104,26.916791916
338.000000000,26.563344955
338.649993896,26.149858475
339.299987793,25.899595261
339.950012207,25.900079727
340.600006104,25.957538605
341.250000000,26.367151260
341.899993896,26.720453262
342.549987793,26.374492645
343.200012207,25.682336807
343.850006104,25.193450928
344.500000000,24.689517975
345.149993896,24.366231918
345.799987793,24.367805481
346.450012207,24.433240891
347.100006104,24.449922562
347.750000000,24.542770386
348.399993896,24.727268219
349.049987793,25.079786301
349.700012207,25.675043106
350.350006104,26.095525742
351.000000000,26.437494278
351.649993896,26.942399979
352.299987793,27.434438705
352.950012207,27.854167938
353.600006104,28.173210144
354.250000000,28.494323730
354.899993896,28.799213409
355.549987793,29.070858002
356.200012207,29.338647842
356.850006104,29.334735870
357.500000000,29.033145905
358.149993896,28.824153900
358.799987793,28.983610153
359.450012207,28.930881500
360.100006104,28.821960449
360.750000000,28.640739441
361.399993896,28.515743256
362.049987793,28.823024750
362.700012207,29.227527618
363.350006104,29.262081146
364.000000000,29.109973907
364.649993896,29.288677216
365.299987793,29.255804062
365.950012207,28.723352432
366.600006104,28.106063843
367.250000000,27.617437363
367.899993896,27.338565826
368.549987793,26.996891022
369.200012207,26.707872391
369.850006104,26.649726868
370.500000000,26.424232483
371.149993896,26.059341431
371.799987793,25.873985291
372.450012207,25.747364044
373.100006104,25.554559708
373.750000000,25.387989044
374.399993896,25.424451828
375.049987793,25.569524765
375.700012207,25.536890030
376.350006104,25.332979202
377.000000000,25.475246429
377.649993896,25.630174637
378.299987793,25.361375809
378.950012207,25.029331207
379.600006104,25.007112503
380.250000000,25.071792603
