Distance_(µm),Gray_Value
405.600006104,20.912998199
406.250000000,20.717880249
406.899993896,20.559047699
407.549987793,20.488403320
408.200012207,20.420665741
408.850006104,20.388618469
409.500000000,20.478567123
410.149993896,20.341264725
410.799987793,20.225755692
411.450012207,19.962781906
412.100006104,19.863176346
412.750000000,19.936788559
413.399993896,20.072507858
414.049987793,20.191711426
414.700012207,20.326414108
415.350006104,20.614828110
416.000000000,20.641525269
416.649993896,20.663946152
417.299987793,20.690168381
417.950012207,20.947597504
418.600006104,21.179834366
419.250000000,21.452556610
419.899993896,21.803182602
420.549987793,21.589805603
421.200012207,21.543882370
421.850006104,21.610330582
422.500000000,21.641862869
423.149993896,21.774269104
423.799987793,21.747045517
424.450012207,21.699331284
425.100006104,21.715675354
425.750000000,21.491304398
426.399993896,21.289196014
427.049987793,21.131284714
427.700012207,21.073724747
428.350006104,20.923187256
429.000000000,20.890901566
429.649993896,21.189775467
430.299987793,21.513500214
430.950012207,21.215690613
431.600006104,20.973197937
432.250000000,20.842741013
432.899993896,20.594949722
433.549987793,20.345079422
434.200012207,20.184898376
434.850006104,20.216445923
435.500000000,20.121742249
436.149993896,20.000915527
436.799987793,19.998811722
437.450012207,19.984136581
438.100006104,20.028734207
438.750000000,20.155588150
439.399993896,20.214197159
440.049987793,20.158319473
440.700012207,20.108364105
441.350006104,20.169675827
442.000000000,20.393293381
442.649993896,20.704038620
443.299987793,20.956186295
443.950012207,21.169937134
444.600006104,21.413331985
445.250000000,21.490425110
445.899993896,21.687456131
446.549987793,21.874244690
447.200012207,21.857620239
447.850006104,21.785427094
448.500000000,21.775602341
449.149993896,22.025953293
449.799987793,22.134397507
450.450012207,22.111856461
451.100006104,22.122291565
451.750000000,22.047512054
452.399993896,22.012031555
453.049987793,21.781211853
453.700012207,21.594385147
454.350006104,21.513681412
455.000000000,21.523555756
455.649993896,21.260961533
456.299987793,20.903148651
456.950012207,20.742198944
457.600006104,20.859064102
458.250000000,21.049678802
458.899993896,21.380523682
459.549987793,21.720050812
460.200012207,21.878105164
460.850006104,21.904314041
461.500000000,21.970365524
462.149993896,22.200473785
462.799987793,22.400297165
463.450012207,22.399013519
464.100006104,22.330999374
464.750000000,22.320261002
465.399993896,22.371046066
466.049987793,22.417053223
466.700012207,22.407344818
467.350006104,22.400663376
468.000000000,22.437503815
468.649993896,22.615089417
469.299987793,22.806129456
469.950012207,22.805042267
470.600006104,22.635269165
471.250000000,22.426332474
471.899993896,22.200397491
472.549987793,22.213605881
473.200012207,22.264011383
473.850006104,22.270957947
474.500000000,22.295999527
475.149993896,22.379755020
475.799987793,22.454277039
476.450012207,22.606159210
477.100006104,22.694877625
477.750000000,22.707027435
478.399993896,22.767930984
479.049987793,22.847770691
479.700012207,22.669162750
480.350006104,22.536598206
481.000000000,22.263854980
481.649993896,21.957656860
482.299987793,21.800743103
482.950012207,21.625768661
483.600006104,21.635250092
484.250000000,22.176877975
484.899993896,22.340908051
485.549987793,21.854925156
486.200012207,21.450500488
486.850006104,21.277473450
487.500000000,21.210161209
488.149993896,21.139602661
488.799987793,20.988224030
489.450012207,20.822387695
490.100006104,20.897487640
490.750000000,21.034513474
491.399993896,20.922588348
492.049987793,20.810697556
492.700012207,20.783948898
493.350006104,20.725423813
494.000000000,20.792791367
494.649993896,20.710098267
495.299987793,20.707494736
495.950012207,20.707523346
496.600006104,20.622045517
497.250000000,20.612573624
497.899993896,20.409841537
498.549987793,20.286542892
499.200012207,20.180826187
499.850006104,20.117593765
500.500000000,20.285514832
501.149993896,20.598037720
501.799987793,20.565509796
502.450012207,20.429733276
503.100006104,20.248888016
503.750000000,20.243162155
504.399993896,20.217994690
505.049987793,20.357563019
505.700012207,20.551843643
506.350006104,20.649570465
507.000000000,20.633384705
507.649993896,20.669427872
508.299987793,20.629058838
508.950012207,20.442090988
509.600006104,20.269580841
510.250000000,20.192104340
510.899993896,20.251037598
511.549987793,20.392782211
512.200012207,20.483003616
512.849975586,20.408897400
513.500000000,20.453115463
514.150024414,20.406963348
514.799987793,20.235561371
515.450012207,20.183090210
516.099975586,20.266832352
516.750000000,20.245389938
517.400024414,20.188678741
518.049987793,20.271650314
518.700012207,20.235296249
519.349975586,20.183237076
520.000000000,20.165601730
520.650024414,20.394227982
521.299987793,20.542312622
521.950012207,20.336061478
522.599975586,19.920053482
523.250000000,19.623018265
523.900024414,19.409709930
524.549987793,19.339227676
525.200012207,19.334642410
525.849975586,19.466739655
526.500000000,19.448806763
527.150024414,19.249750137
527.799987793,19.186685562
528.450012207,18.963109970
529.099975586,18.575311661
529.750000000,18.397727966
530.400024414,18.352718353
531.049987793,18.117694855
531.700012207,18.101779938
532.349975586,18.157205582
533.000000000,18.132587433
533.650024414,18.343711853
534.299987793,18.570766449
534.950012207,18.299703598
535.599975586,18.107748032
536.250000000,18.222097397
536.900024414,18.353559494
537.549987793,18.415193558
538.200012207,18.497863770
